#Wavelength[um] k_ext[m^2/kg] SSA
1.539680576815420920e+01 2.784156988445343472e+01 5.958553487075413102e-04
1.584219948123531374e+01 3.619048163403092389e+01 5.204008444499003778e-04
1.707574478640220406e+01 5.249828168875747281e+01 3.114249502083055177e-04
1.725344162812967141e+01 5.484748163553678779e+01 3.204736566581695644e-04
1.817396919225973662e+01 4.076086956521739885e-02 3.673489056825524264e-04
1.893760882868780726e+01 4.076086956521739885e-02 4.062350830413841152e-04
1.980112104198896716e+01 4.076086956521739885e-02 3.665879491537883672e-04
2.100256787158303595e+01 4.076086956521739885e-02 3.114249502083055177e-04
2.192679586145329651e+01 4.076086956521739885e-02 3.114249502083055177e-04
2.329264285125121248e+01 4.076086956521739885e-02 3.114249502083055177e-04
2.428066450027376177e+01 4.076086956521739885e-02 3.114249502083055177e-04
2.583242269770370214e+01 4.076086956521739885e-02 3.114249502083055177e-04
2.688722384702218449e+01 4.076086956521739885e-02 3.114249502083055177e-04
2.864913469434797832e+01 4.076086956521739885e-02 3.114249502083055177e-04
2.977360056153849399e+01 4.076086956521739885e-02 3.114249502083055177e-04
3.177297492920985178e+01 4.076086956521739885e-02 3.114249502083055177e-04
3.296983338412690756e+01 4.076086956521739885e-02 3.114249502083055177e-04
3.523743200702548961e+01 6.035763266960842088e+00 3.114249502083055177e-04
3.650918575099336039e+01 9.397983841181588360e+00 3.114249502083055177e-04
3.907964605820492210e+01 5.151273836478289070e+00 3.114249502083055177e-04
4.042849196933649125e+01 2.922817941036167433e+00 3.114249502083055177e-04
4.334080689336519754e+01 9.888631347852261388e-01 3.114249502083055177e-04
4.476854055476254501e+01 4.076086956521739885e-02 3.114249502083055177e-04
4.806659557177799513e+01 4.076086956521739885e-02 3.114249502083055177e-04
4.957449872044553985e+01 4.076086956521739885e-02 3.114249502083055177e-04
