#Wavelength[um] k_ext[m^2/kg] SSA
1.805299264076132504e+00 1.460907524800155954e+02 9.990301427233152509e-01
1.981985006543762307e+00 3.137533101163129601e+01 9.990464599740980223e-01
2.013598759285066819e+00 3.657751074311683226e+01 9.990493795618613504e-01
2.220109836034777739e+00 7.055980150706584197e+01 9.980918479276148503e-01
2.245932319409276623e+00 6.981856384684706995e+01 9.979721166032953228e-01
2.477413661575436521e+00 6.317386256219084117e+01 9.973584168010959372e-01
2.505073048991196760e+00 6.209902824403027211e+01 9.972850866552311899e-01
2.764580124595607202e+00 5.201467219982596646e+01 9.967710616818674652e-01
2.794114019621297462e+00 5.201467219982596646e+01 9.967125616985104131e-01
3.084894788336676186e+00 5.201467219982596646e+01 9.945437279800609653e-01
3.116505188456776487e+00 5.073130323215828952e+01 9.943079568802835055e-01
3.442523197665109169e+00 3.749510899453089507e+01 9.929936619022879940e-01
3.476094576482033460e+00 3.648490430823675013e+01 9.928583236898664843e-01
3.841572290038719473e+00 2.548722378446555226e+01 9.907572450767609951e-01
3.877174198009639916e+00 2.461702242817971253e+01 9.905525748474999226e-01
4.286858838378677206e+00 1.460328580513670893e+01 9.886563131984523745e-01
4.324531289630582975e+00 1.855247255828763286e+01 9.884819429206936903e-01
4.823505450076106094e+00 7.085971774972914261e+01 9.869429958370283806e-01
4.824707880997458176e+00 7.098576806258056138e+01 9.869398787185236221e-01
5.243372921386156627e+00 3.623188405797100886e-02 9.858545535480497390e-01
5.380052373005569599e+00 3.623188405797100886e-02 9.855002329460922361e-01
6.000814933426937614e+00 3.623188405797100886e-02 9.849231277897176895e-01
6.125684960251740030e+00 3.623188405797100886e-02 9.846822037329868715e-01
6.693202476228471198e+00 3.826303371139233800e+00 9.835872362240367650e-01
6.848346924519482570e+00 4.862409805378039351e+00 9.830206219788474309e-01
7.479387805198371098e+00 1.029864772603263923e+00 9.807159520004620212e-01
7.615180280630549525e+00 2.051467659887089567e-01 9.545225106078145672e-01
7.642992659856833626e+00 3.623188405797100886e-02 9.446583297017677738e-01
7.737953027302684639e+00 3.623188405797100886e-02 9.109788578461088804e-01
7.767883177981917520e+00 3.623188405797100886e-02 9.365562194459537970e-01
7.791646189236275610e+00 3.623188405797100886e-02 8.547045284026606460e-01
7.884416493907203893e+00 3.623188405797100886e-02 8.361382046619278974e-01
7.899482548422300354e+00 3.623188405797100886e-02 8.835153935170469985e-01
8.203790295843868208e+00 3.623188405797100886e-02 9.722268143494798842e-01
8.244611096999737043e+00 3.623188405797100886e-02 9.256736650686070433e-01
8.299354967811598982e+00 3.623188405797100886e-02 9.426020829889241170e-01
8.362364630497873819e+00 3.623188405797100886e-02 9.908943177204760921e-01
8.528472527516361978e+00 3.623188405797100886e-02 9.910072927027541168e-01
9.248205570674967291e+00 3.623188405797100886e-02 9.914968048165984094e-01
9.516908253045013311e+00 3.623188405797100886e-02 9.821244052764587229e-01
9.794019355284030226e+00 3.623188405797100886e-02 9.724587184873114687e-01
1.058098775490615218e+01 3.623188405797100886e-02 9.450159499886732206e-01
1.061957308080963536e+01 3.623188405797100886e-02 9.025467100740506288e-01
1.062836042118696156e+01 3.623188405797100886e-02 8.928748553479919359e-01
1.067241309053562404e+01 3.623188405797100886e-02 9.164399825666156296e-01
1.073439374908809363e+01 3.623188405797100886e-02 8.460865891515587656e-01
1.081786610136954607e+01 3.623188405797100886e-02 7.514840920362502175e-01
1.082356247857905451e+01 3.623188405797100886e-02 8.718906706342650637e-01
1.086482845351128823e+01 3.623188405797100886e-02 7.756455612497936691e-01
1.088642094597674692e+01 3.623188405797100886e-02 9.658786576293607595e-01
1.090805635082992708e+01 3.623188405797100886e-02 9.897169937573315757e-01
1.093154323044194598e+01 3.623188405797100886e-02 8.245440017633773877e-01
1.093739623612097844e+01 3.623188405797100886e-02 7.216613343965461169e-01
1.095312890947441176e+01 3.623188405797100886e-02 4.933479151035773391e-01
1.097578428303248543e+01 3.623188405797100886e-02 6.858129199770508500e-01
1.099502880232434343e+01 3.623188405797100886e-02 5.863358331204264751e-01
1.162164237245977816e+01 3.623188405797100886e-02 4.167631013390646899e-01
1.166981201936992463e+01 3.623188405797100886e-02 4.403282285576888277e-01
1.173758513010022142e+01 3.623188405797100886e-02 2.713726786796719637e-01
1.174729908019924096e+01 3.623188405797100886e-02 4.708399919178565263e-01
1.180184595388559998e+01 3.623188405797100886e-02 3.920758252052682913e-01
1.184995092596182431e+01 3.623188405797100886e-02 3.089362386867560706e-01
1.190382015065950227e+01 3.623188405797100886e-02 1.926539322803169085e-01
1.193112127400698164e+01 3.623188405797100886e-02 8.690311176672560478e-02
1.196701096750787841e+01 3.623188405797100886e-02 2.433173527304792749e-01
1.202257804136813135e+01 3.623188405797100886e-02 1.347403611248876310e-01
1.212746268467799382e+01 3.623188405797100886e-02 7.397520251281211046e-01
1.218276693005479139e+01 3.623188405797100886e-02 7.175951947980383494e-01
1.226365998990971384e+01 3.623188405797100886e-02 6.538571364162373278e-01
1.231109542794891532e+01 3.623188405797100886e-02 6.843261512463034713e-01
1.233998498613961026e+01 3.623188405797100886e-02 4.918829558604733698e-01
1.236144098217010523e+01 3.623188405797100886e-02 7.877070590180199616e-01
1.247414569895194347e+01 3.623188405797100886e-02 8.189641735351775864e-01
1.263437740528863529e+01 3.623188405797100886e-02 1.935195900148789505e-01
1.290601705319812531e+01 3.623188405797100886e-02 4.308197340764712280e-01
1.299478351527403852e+01 3.623188405797100886e-02 4.623463933432527817e-01
1.322293086328697242e+01 3.623188405797100886e-02 8.349727594124833896e-01
1.325651486451429228e+01 3.623188405797100886e-02 8.898245227329639739e-01
1.327730973090883637e+01 3.623188405797100886e-02 9.182674822284679905e-01
1.332131718885713845e+01 3.623188405797100886e-02 9.394632721661988484e-01
1.333013616845189730e+01 3.623188405797100886e-02 8.342602082988928025e-01
1.354355210341028126e+01 3.623188405797100886e-02 7.244563338793796881e-01
1.358844201798943274e+01 3.623188405797100886e-02 9.968898790389948417e-01
1.360027986244291220e+01 3.623188405797100886e-02 8.026085216347205176e-01
1.365153797096461652e+01 3.623188405797100886e-02 2.373218713837004223e-01
1.367866870128781009e+01 3.623188405797100886e-02 6.698076817104756664e-01
1.383228680465466276e+01 3.623188405797100886e-02 6.143494792527692816e-01
1.384258913904035282e+01 3.623188405797100886e-02 6.394511489502399115e-01
1.390686518718593057e+01 3.623188405797100886e-02 4.738965118201359239e-01
1.409216032702908450e+01 3.623188405797100886e-02 4.245924946272117140e-01
1.416228075354190175e+01 3.623188405797100886e-02 3.749710695982813036e-01
1.423275008853292256e+01 3.623188405797100886e-02 4.527359894197391377e-01
1.451815136541732798e+01 3.623188405797100886e-02 3.498723388622551056e-01
1.466299100608089034e+01 3.623188405797100886e-02 2.777769428455494349e-01
1.468380000665635698e+01 3.623188405797100886e-02 2.276787190326623467e-01
1.475498942634443367e+01 3.623188405797100886e-02 2.375736052687605626e-01
1.487065745402050609e+01 3.623188405797100886e-02 2.536507411693400549e-01
1.515630706360646940e+01 3.623188405797100886e-02 1.623078194742935132e-01
1.519396800163730887e+01 3.623188405797100886e-02 1.773846916845762678e-01
1.532651976456454079e+01 3.623188405797100886e-02 1.288918278503334847e-01
1.538731754840524424e+01 3.623188405797100886e-02 2.045532909808001065e-01
1.603333259602008098e+01 3.623188405797100886e-02 2.633493139361879898e-01
1.643621910707310363e+01 3.623188405797100886e-02 2.354174243676645517e-01
1.646455806374968134e+01 3.623188405797100886e-02 2.337363976949775601e-01
1.684922937373438145e+01 3.623188405797100886e-02 2.109182417663162390e-01
1.699622159177861747e+01 3.623188405797100886e-02 1.646883782443384625e-01
1.701732490232650008e+01 3.623188405797100886e-02 1.833240655855967738e-01
1.717706408780069438e+01 3.623188405797100886e-02 1.235653924323907304e-01
1.816159210534871704e+01 3.623188405797100886e-02 1.490824929740455218e-01
1.824189820218964186e+01 3.623188405797100886e-02 1.723590676144821643e-01
1.837220376116158604e+01 3.623188405797100886e-02 1.393621066430115185e-01
1.864467312571024138e+01 3.623188405797100886e-02 7.036534964456953034e-02
1.866936759345687946e+01 3.623188405797100886e-02 1.272166198269690796e-01
1.867498453238558653e+01 3.623188405797100886e-02 9.887434436946795913e-02
2.013142712114853339e+01 3.623188405797100886e-02 5.529603476371569570e-02
2.019576560405291943e+01 3.623188405797100886e-02 9.356918498925725913e-03
2.034668950343321470e+01 3.623188405797100886e-02 8.507191271284542111e-02
2.050087647264600221e+01 3.623188405797100886e-02 7.716093180361364989e-02
2.150033052444095460e+01 3.623188405797100886e-02 2.588122922062474629e-02
2.252169863072985123e+01 3.623188405797100886e-02 6.778884127206730170e-03
2.287618522036889601e+01 3.623188405797100886e-02 6.611036846845919600e-03
2.506282196945261376e+01 3.623188405797100886e-02 5.575677422263947136e-03
2.552670618423956839e+01 3.623188405797100886e-02 5.884262067891375160e-03
2.795462681789701520e+01 3.623188405797100886e-02 7.499361276845473157e-03
2.848432648798019429e+01 3.623188405797100886e-02 7.404586679979965891e-03
3.118009462303788837e+01 3.623188405797100886e-02 6.922256120470926533e-03
3.178462781754380018e+01 3.623188405797100886e-02 6.437382373249275411e-03
3.477772416833627744e+01 3.623188405797100886e-02 4.036730338599081591e-03
3.546731448700714395e+01 3.623188405797100886e-02 3.392087301673794245e-03
3.879045631360050095e+01 3.623188405797100886e-02 2.855468221647505800e-04
3.957669110178918714e+01 3.623188405797100886e-02 2.371425424604565188e-04
4.326618653176030449e+01 3.623188405797100886e-02 1.000000000000000082e-05
4.416219556572946914e+01 3.623188405797100886e-02 1.000000000000000082e-05
4.825833658328847520e+01 3.623188405797100886e-02 1.000000000000000082e-05
4.879030616278981825e+01 3.623188405797100886e-02 1.964803082187076256e-04
5.382649215170403068e+01 3.623188405797100886e-02 1.961899895443597330e-03
5.734264422827261853e+01 3.623188405797100886e-02 1.394013997068841056e-03
6.003711405089680397e+01 3.623188405797100886e-02 9.588361712684623228e-04
6.386079657170104440e+01 3.623188405797100886e-02 9.588361712684623228e-04
6.435740806241405210e+01 3.623188405797100886e-02 9.588361712684623228e-04
7.125994894139167002e+01 3.623188405797100886e-02 9.588361712684623228e-04
7.717414313746120058e+01 3.623188405797100886e-02 9.588361712684623228e-04
